Outer fold,Best parameters,Inner weighted AUC
1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 15, ""n_estimators"": 400}",0.7291429313691856
2,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 15, ""n_estimators"": 400}",0.7138672055239955
3,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",0.7144072179229658
4,"{""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 250}",0.7118237046417452
5,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 15, ""n_estimators"": 400}",0.7305236080146345
