Model,AUC,Brier,LogLoss,Accuracy
Income-only linear logit,0.6831945136379449,0.229143500886895,0.6705529599388104,0.6286997481144869
Income-only spline logit,0.6842605228609968,0.2223882053339084,0.637227866190401,0.653924604160724
Income + wealth spline logit,0.7063267300846854,0.21705603607683283,0.6266466612819546,0.659698280188025
Full-background linear logit,0.6768504523161534,0.227417419633631,0.6729612573518763,0.6434032787052092
Full-background additive spline logit,0.7085808356442482,0.21781379429829073,0.6324963893011267,0.6565032054172584
Full-background spline logit + income x wealth interaction,0.6968831351519131,0.2232824317139962,0.6940518488991421,0.6618464077925532
Full-background Random Forest,0.7184341393051317,0.212851226415813,0.6156358964955111,0.6754475093075322
Full-background Gradient Boosting,0.7214568716967824,0.2117089813396375,0.6134713404520087,0.6744525572896068
