Threshold,LowWealthStandardizedRate,LowWealthLower,LowWealthUpper,HighWealthStandardizedRate,HighWealthLower,HighWealthUpper,HighMinusLowWealthGap,GapLower,GapUpper,HighToLowWealthRiskRatio,RatioLower,RatioUpper,N,Families
10,0.4651985186084284,0.40826129152671636,0.5245645457753034,0.6355876016215853,0.5736816554629498,0.7054733688734625,0.17038908301315692,0.08563057909133849,0.2536624513177354,1.366271766132984,1.1709644372300787,1.606538863737185,1802,773
20,0.3256357964538487,0.2649615091624374,0.3853735595006762,0.5367688236776809,0.4664983391164838,0.6212344489674372,0.21113302722383215,0.1279539053494621,0.3067184869387133,1.6483716763422702,1.3456382387315908,2.09634423330643,1802,773
30,0.21889287777694608,0.160518689791019,0.27539117191096757,0.4588380651147515,0.3865935611393029,0.5359162116234405,0.23994518733780543,0.15308461729633654,0.3341767956873485,2.0961763113293794,1.6272256499797073,2.904793599944415,1802,773
40,0.12536172987572827,0.08860736689825714,0.1693559519239093,0.3606898334997137,0.2943789558618164,0.4330380492081337,0.2353281036239854,0.1548350635786618,0.31047833049296675,2.8771925360097326,2.014764730276979,4.271960793091024,1802,773
