Information Set,AUC,AUC Lower,AUC Upper,Brier,Brier Lower,Brier Upper
Income,0.6601278453566712,0.6345092349868695,0.6886165807768706,0.23045551769520858,0.22146502302810372,0.23881556049773117
Income + wealth,0.6974880323730884,0.670927730753518,0.7235573146968894,0.21974258814711123,0.2107323485907873,0.22967128298373296
Income + wealth + education,0.702440894910408,0.6771719244664278,0.7301289399225089,0.21753801922179994,0.2082316274609795,0.226616175326546
Income + wealth + education + demographics,0.7141380563065762,0.6882979316758573,0.7417264441622781,0.21363414621583798,0.20398261838853537,0.22266624620002906
Full background,0.7184341393051317,0.691442439165855,0.7449420054095082,0.21285122641581308,0.20430131506390267,0.22114236609363327
