Family,Outcome,Label,Direction,Threshold,Group,ConsensusRank
Parent-child absolute,I3,Up $15k,Up,15000,Income,1.0
Parent-child absolute,I3,Up $15k,Up,15000,Industry,5.333333333333333
Parent-child absolute,I3,Up $15k,Up,15000,Occupation,5.666666666666667
Parent-child absolute,I3,Up $15k,Up,15000,Wealth,4.666666666666667
Parent-child absolute,I4,Up $20k,Up,20000,Demographics,2.0
Parent-child absolute,I4,Up $20k,Up,20000,Education,4.5
Parent-child absolute,I4,Up $20k,Up,20000,Family / employment,7.333333333333333
Parent-child absolute,I4,Up $20k,Up,20000,Geography,3.8333333333333335
Parent-child absolute,I4,Up $20k,Up,20000,Income,1.0
Parent-child absolute,I4,Up $20k,Up,20000,Industry,5.666666666666667
Parent-child absolute,I4,Up $20k,Up,20000,Occupation,7.333333333333333
Parent-child absolute,I4,Up $20k,Up,20000,Wealth,4.333333333333333
Parent-child absolute,I5,Down $5k,Down,5000,Demographics,2.0
Parent-child absolute,I5,Down $5k,Down,5000,Education,4.833333333333333
Parent-child absolute,I5,Down $5k,Down,5000,Family / employment,5.833333333333333
Parent-child absolute,I5,Down $5k,Down,5000,Geography,7.666666666666667
Parent-child absolute,I5,Down $5k,Down,5000,Income,1.0
Parent-child absolute,I5,Down $5k,Down,5000,Industry,4.333333333333333
Parent-child absolute,I5,Down $5k,Down,5000,Occupation,5.666666666666667
Parent-child absolute,I5,Down $5k,Down,5000,Wealth,4.666666666666667
Parent-child absolute,I6,Down $10k,Down,10000,Demographics,2.0
Parent-child absolute,I6,Down $10k,Down,10000,Education,5.166666666666667
Parent-child absolute,I6,Down $10k,Down,10000,Family / employment,6.833333333333333
Parent-child absolute,I6,Down $10k,Down,10000,Geography,5.833333333333333
Parent-child absolute,I6,Down $10k,Down,10000,Income,1.0
Parent-child absolute,I6,Down $10k,Down,10000,Industry,5.666666666666667
Parent-child absolute,I6,Down $10k,Down,10000,Occupation,6.333333333333333
Parent-child absolute,I6,Down $10k,Down,10000,Wealth,3.1666666666666665
Parent-child absolute,I7,Down $15k,Down,15000,Demographics,2.1666666666666665
Parent-child absolute,I7,Down $15k,Down,15000,Education,5.666666666666667
Parent-child absolute,I7,Down $15k,Down,15000,Family / employment,6.833333333333333
Parent-child absolute,I7,Down $15k,Down,15000,Geography,5.833333333333333
Parent-child absolute,I7,Down $15k,Down,15000,Income,1.0
Parent-child absolute,I7,Down $15k,Down,15000,Industry,6.0
Parent-child absolute,I7,Down $15k,Down,15000,Occupation,5.666666666666667
Parent-child absolute,I7,Down $15k,Down,15000,Wealth,2.8333333333333335
Parent-child absolute,I8,Down $20k,Down,20000,Demographics,2.3333333333333335
Parent-child absolute,I8,Down $20k,Down,20000,Education,7.333333333333333
Parent-child absolute,I8,Down $20k,Down,20000,Family / employment,5.5
Parent-child absolute,I8,Down $20k,Down,20000,Geography,5.666666666666667
Parent-child absolute,I8,Down $20k,Down,20000,Income,1.0
Parent-child absolute,I8,Down $20k,Down,20000,Industry,5.5
Parent-child absolute,I8,Down $20k,Down,20000,Occupation,6.0
Parent-child absolute,I8,Down $20k,Down,20000,Wealth,2.6666666666666665
Relative,DV1,Up 10 pp,Up,10,Demographics,2.0
Relative,DV1,Up 10 pp,Up,10,Education,6.833333333333333
Relative,DV1,Up 10 pp,Up,10,Family / employment,3.3333333333333335
Relative,DV1,Up 10 pp,Up,10,Geography,5.833333333333333
Relative,DV1,Up 10 pp,Up,10,Income,1.0
Relative,DV1,Up 10 pp,Up,10,Industry,5.333333333333333
Relative,DV1,Up 10 pp,Up,10,Occupation,5.666666666666667
