Bin,N,Mean predicted,Observed rate
1,408,0.17713934037090975,0.16751224969193937
2,350,0.23643780043184565,0.21988173258785823
3,370,0.29540353895061544,0.2635794874727129
4,319,0.3604212836099826,0.2941783680964389
5,269,0.41844053105567774,0.4406869203191641
6,221,0.4842430910223333,0.5178552745078436
7,206,0.5445395743562125,0.5512358992307507
8,209,0.6005846765792618,0.6685035050856283
9,184,0.6500022002894429,0.6796982486678776
10,171,0.7104309782315664,0.6886150695492189
