Information Set,Delta AUC vs Income,Delta AUC Lower,Delta AUC Upper,Delta Brier vs Income,Delta Brier Lower,Delta Brier Upper
Income + wealth,0.03736018701641719,0.016577451567847228,0.05785219367044531,-0.010712929548097355,-0.017502442857021655,-0.003746497122850768
Income + wealth + education,0.042313049553736715,0.021061285028254762,0.06426027603806218,-0.012917498473408645,-0.019882600324393082,-0.005738199716185944
Income + wealth + education + demographics,0.05401021094990499,0.032138349927741776,0.0774734438609519,-0.0168213714793706,-0.024363080725642222,-0.009415559074733307
Full background,0.05830629394846043,0.0344542911127909,0.08181241234549981,-0.0176042912793955,-0.02448433758090192,-0.01029681163246038
