Model,AUC,Brier,Log Loss,Accuracy,Delta AUC vs Income Logit
Income-only Logit,0.6831945136379449,0.22914350055706534,0.6705529596672618,0.6286997481144869,0.0
Full-background Logit,0.6768504523161534,0.22741742119713815,0.6729612655594615,0.6434032787052092,-0.00634406132179155
Income-only Random Forest,0.6601278453566712,0.23045551769520858,0.6590529431166522,0.6442542604687885,-0.023066668281273683
Full-background Random Forest,0.7184341393051317,0.21285122641581308,0.6156358964955111,0.6754475093075322,0.03523962566718675
Full-background Gradient Boosting,0.7214568716967824,0.21170898133963753,0.6134713404520087,0.6744525572896068,0.03826235805883749
