Cross-fitting structure,AUC,Brier,Log Loss,Accuracy
Family-grouped by ID68,0.7184341393051317,0.21285122641581308,0.6156358964955111,0.6754475093075322
Individual-level stratified,0.7182209764327832,0.21271639834802217,0.615466653336493,0.6748121884355063
