WealthQuartile,N,Families,IGE,IGE_SE,IGE_Lower,IGE_Upper,RealizedMobility,MobilityLower,MobilityUpper
Wealth Q1,867,398,0.1613117589410831,0.04505118981852482,0.07301142689677445,0.24961209098539175,0.24180980680224018,0.19792844063761245,0.28661248849364956
Wealth Q2,740,392,0.1784369589629913,0.0773525336153566,0.026825993076892374,0.33004792484909024,0.35797572973849984,0.3136898606633724,0.4035977348711451
Wealth Q3,582,357,0.18674882685068464,0.07127146799399331,0.04705674958245776,0.3264409041189115,0.5357371632395366,0.48163444378976983,0.5870307295074174
Wealth Q4,460,272,0.11712298077303308,0.054716580212733616,0.009878483556075193,0.22436747798999096,0.6666509942106139,0.6225747613637661,0.7176260714682308
