Family,Outcome,Label,Model,Fold,InnerAUC,BestParameters
Relative,DV3,Up 30 pp,Gradient Boosting,1,0.7263019715605687,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Relative,DV3,Up 30 pp,Gradient Boosting,2,0.72539310696861,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Relative,DV3,Up 30 pp,Gradient Boosting,3,0.7490571341816444,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV3,Up 30 pp,Gradient Boosting,4,0.7425172433542203,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Relative,DV3,Up 30 pp,Gradient Boosting,5,0.7260688291856335,"{""n_estimators"": 180, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""subsample"": 0.8}"
Relative,DV4,Up 40 pp,Random Forest,1,0.7260094713697035,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV4,Up 40 pp,Random Forest,2,0.7365480506821891,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Relative,DV4,Up 40 pp,Random Forest,3,0.7338072870641117,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV4,Up 40 pp,Random Forest,4,0.7153037212219683,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Relative,DV4,Up 40 pp,Random Forest,5,0.7058973493528168,"{""n_estimators"": 250, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy""}"
Relative,DV4,Up 40 pp,Gradient Boosting,1,0.7182023462017274,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV4,Up 40 pp,Gradient Boosting,2,0.7330336321889476,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""subsample"": 1.0}"
Relative,DV4,Up 40 pp,Gradient Boosting,3,0.7310355231651781,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV4,Up 40 pp,Gradient Boosting,4,0.7087502299677038,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
