Comparison,Difference,Lower,Upper
Black − Non-Black,-0.20901917984610158,-0.23131958833153646,-0.18491222249564504
Black high wealth − Non-Black high wealth,-0.14441898331136893,-0.17941825068023912,-0.10150070602529612
Black low wealth − Non-Black low wealth,-0.10995959536676761,-0.13164783583837428,-0.08860250402189586
College − No college,0.15399721864546972,0.12786460967692653,0.17939411801236324
High wealth − Low wealth,0.25359185127379297,0.23629993428851034,0.2694188830034667
High advantage − Low advantage,0.3281678643605496,0.3045367463657068,0.3488304209146581
