Group,WealthQuartile,Education,N,Families,IGE,IGE_SE,IGE_Lower,IGE_Upper,RealizedMobility,MobilityLower,MobilityUpper
Wealth Q1 / No college,Wealth Q1,No college,824,378,0.1468712763992546,0.04526272108388572,0.05815634307483859,0.23558620972367061,0.22600340532805008,0.1814058378112284,0.27156932573523707
Wealth Q1 / College,Wealth Q1,College,43,23,0.5626638583823707,0.25729258759418766,0.058370386697762844,1.0669573300669786,0.4806828892324693,0.21550335466321285,0.6933687357019076
Wealth Q2 / No college,Wealth Q2,No college,665,353,0.18873829899664696,0.07981674949300462,0.0322974699903579,0.34517912800293604,0.34444855448694456,0.2956422441177973,0.39167592652119043
Wealth Q2 / College,Wealth Q2,College,75,46,-0.025043887946496965,0.09992715214449487,-0.22090110614970687,0.17081333025671297,0.4452503112182626,0.3326523987450349,0.5752641584718379
Wealth Q3 / No college,Wealth Q3,No college,508,310,0.15500203913947944,0.07312980615399342,0.011667619077652347,0.2983364592013065,0.5005058753353718,0.4450767585192942,0.5550858763453401
Wealth Q3 / College,Wealth Q3,College,74,55,0.1738415162084968,0.09283053052180215,-0.008106323614235411,0.355789356031229,0.7316683990046929,0.6238689098094429,0.8314041745557765
Wealth Q4 / No college,Wealth Q4,No college,340,210,0.16710364165570019,0.06679658180151202,0.03618234132473663,0.29802494198666374,0.6665368251055633,0.6097311429160995,0.7202733854178861
Wealth Q4 / College,Wealth Q4,College,120,77,0.08349374112790975,0.09397208535803142,-0.10069154617383183,0.2676790284296513,0.6669399953551101,0.5736418658339233,0.7612521011481617
