Outcome,Label,Direction,Threshold,N,EventRate,RF AUC,RF Brier,RF Log Loss,GB AUC,GB Brier,GB Log Loss
DV1,Up 10 pp,Up,10,2521,0.40733825760815634,0.6893678393992635,0.2172459295034359,0.6258341505855612,0.7000029795581462,0.21399317794676492,0.618079104578547
DV2,Up 20 pp,Up,20,2319,0.30859548107845863,0.7161525948499359,0.18557732745916397,0.5465674442953804,0.7155704544953614,0.1887846007420425,0.5553558508092842
DV3,Up 30 pp,Up,30,2082,0.23136720317186685,0.7094618640395386,0.15891366170861468,0.4886147431131858,0.7155468038012962,0.15783723541284278,0.48792086614623514
DV4,Up 40 pp,Up,40,1820,0.17108511971315032,0.7076741647674911,0.13133014385198893,0.42005456706156813,0.7126120931415966,0.1323227959214562,0.42490971731358246
DV5,Down 10 pp,Down,10,2362,0.38776360651002256,0.6926732513353125,0.21205391722800182,0.607703159776983,0.6838193324577241,0.21551005240656992,0.6173146218622941
DV6,Down 20 pp,Down,20,2041,0.3025609439707842,0.6935730933546268,0.19118648508860944,0.5588686828232938,0.6863693083258591,0.1940186506901662,0.5668702142512048
DV7,Down 30 pp,Down,30,1751,0.23911809647225862,0.6676165078519929,0.17129911039427875,0.5127279389111897,0.6599402599849334,0.17560476670056005,0.5219833172093774
DV8,Down 40 pp,Down,40,1446,0.18540267191162332,0.6492505088146471,0.14649101865127112,0.4613169417402283,0.655359010180812,0.15066981747264105,0.47074654859235127
