Group1,Group2,IGE1,IGE2,IGE_Difference,Mobility1,Mobility2,Mobility_Difference
Wealth Q1,Wealth Q2,0.1613117589410831,0.1784369589629913,0.017125200021908205,0.24180980680224018,0.35797572973849984,0.11616592293625966
Wealth Q1,Wealth Q3,0.1613117589410831,0.18674882685068464,0.02543706790960154,0.24180980680224018,0.5357371632395366,0.2939273564372964
Wealth Q1,Wealth Q4,0.1613117589410831,0.11712298077303308,0.044188778168050016,0.24180980680224018,0.6666509942106139,0.42484118740837373
Wealth Q2,Wealth Q3,0.1784369589629913,0.18674882685068464,0.008311867887693336,0.35797572973849984,0.5357371632395366,0.17776143350103674
Wealth Q2,Wealth Q4,0.1784369589629913,0.11712298077303308,0.06131397818995822,0.35797572973849984,0.6666509942106139,0.3086752644721141
Wealth Q3,Wealth Q4,0.18674882685068464,0.11712298077303308,0.06962584607765156,0.5357371632395366,0.6666509942106139,0.13091383097107734
