Family,Outcome,Label,Direction,Threshold,Model,Method,Group,Value,FoldSD,Rank
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Income,0.24916453970880487,0.05208825042263666,2.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Industry,0.029164807558290075,0.006276684771521921,6.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Occupation,0.05214883442094208,0.010040066433309233,5.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Impurity,Wealth,0.30477720291043936,0.06064785428029853,1.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Demographics,0.04414062638503165,0.009319643152637376,1.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Education,0.01363060531090483,0.007197323880435019,4.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Family / employment,-0.001732753987402049,0.005997275688017424,7.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Geography,0.00043268353217599365,0.001874303793677492,6.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Income,0.030735737955128618,0.01002074528544002,3.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Industry,-0.0036203068198014674,0.0033285189861492342,8.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Occupation,0.0024590827639425173,0.005456301255735924,5.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,Permutation,Wealth,0.03404463807195896,0.01015582177466113,2.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Demographics,0.25634554250674224,0.02233187671853001,1.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Education,0.14865652105714205,0.03251651375060262,4.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Family / employment,0.033381644139010715,0.02735500675306914,8.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Geography,0.03769395299176076,0.018132231038192757,7.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Income,0.1920479931684692,0.027050550656307303,3.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Industry,0.04660519289222066,0.01406367282510077,6.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Occupation,0.06829226227477254,0.01436050034838683,5.0
Benchmark,A2,Up $10k,Up,10000,Gradient Boosting,SHAP,Wealth,0.2169768909698818,0.040442417414684156,2.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Impurity,Demographics,0.22554166232977785,0.02040794671360049,3.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Impurity,Education,0.09348686287075186,0.007177877111674285,4.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Impurity,Family / employment,0.041987235656594804,0.014934559277806092,7.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Impurity,Geography,0.039164190080628776,0.014013225071996026,8.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Impurity,Income,0.23748694988327096,0.02587098804444689,2.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Impurity,Industry,0.0471463091917796,0.004778303889552752,6.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Impurity,Occupation,0.06926755187855396,0.007598616290014946,5.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Impurity,Wealth,0.24591923810864222,0.02153172554204884,1.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Permutation,Demographics,0.031650930554009506,0.008182891167978192,3.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Permutation,Education,0.009122223951422195,0.009613216134671615,4.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Permutation,Family / employment,-0.0033894007841323466,0.0072002909406165055,8.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Permutation,Geography,-0.000135093805660813,0.005572520881383813,6.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Permutation,Income,0.03282133983278669,0.011403758058421058,1.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Permutation,Industry,-0.0026267334026370457,0.002545732407527209,7.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Permutation,Occupation,0.001615372657729075,0.0029906969131234125,5.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,Permutation,Wealth,0.03241281041339839,0.01103382088605046,2.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,SHAP,Demographics,0.23185449310784367,0.026402433555975505,1.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,SHAP,Education,0.13098682988929516,0.011859756333716524,4.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,SHAP,Family / employment,0.05132450419475658,0.021056872209445653,6.0
