Outcome,Label,Direction,Threshold,N,EventRate,RF AUC,RF Brier,RF Log Loss,GB AUC,GB Brier,GB Log Loss
I1,Up $5k,Up,5000,2707,0.4213371832831099,0.7240234957460453,0.20706317411240185,0.601341786976028,0.7158228326731403,0.20948750737291508,0.6072163918401028
I2,Up $10k,Up,10000,2707,0.3676062168763577,0.6985562502083198,0.20412137028348604,0.595709381281384,0.7023127256617274,0.20456282823191593,0.5970676879436743
I3,Up $15k,Up,15000,2707,0.31491626071813905,0.6943773232294705,0.19215788064819633,0.5687665694899416,0.7049424146076694,0.18896412220477052,0.5612107463056956
I4,Up $20k,Up,20000,2707,0.26354302809377733,0.6926584125050594,0.17397277223417817,0.5289174913893723,0.6968774218453146,0.17269290581453473,0.526299655247906
I5,Down $5k,Down,5000,2707,0.44293149635675866,0.7838295927784915,0.18711354679285605,0.5430370426254416,0.7796552598016383,0.1898613519024986,0.5532268598496207
I6,Down $10k,Down,10000,2707,0.37461375874081565,0.8068934868381186,0.1720212173088667,0.5046616201193547,0.8097641973479517,0.17224497082686918,0.5076690072033314
I7,Down $15k,Down,15000,2707,0.32681214753673987,0.8323415342653528,0.15478302988605913,0.45773365935042265,0.8256273172407169,0.15874322814942848,0.4686465106703235
I8,Down $20k,Down,20000,2707,0.28174434558062916,0.8435377038197819,0.1418451232874102,0.4188098763747274,0.8414225129928484,0.1444960306341063,0.4286514496653617
