Comparison,DeltaAUC,DeltaAUC_Lower,DeltaAUC_Upper,DeltaBrier,DeltaBrier_Lower,DeltaBrier_Upper,DeltaLogLoss,DeltaLogLoss_Lower,DeltaLogLoss_Upper,BootstrapType,BootstrapReps
Income spline minus income linear,0.0010660092230518892,-0.0026185276657757855,0.004553955601066069,-0.0067552955529865955,-0.010481321941643416,-0.0029586671665133226,-0.03332509374840942,-0.0628593231241459,-0.012220369908448539,Fixed-prediction family-cluster bootstrap,500
Income+wealth spline minus income spline,0.022066207223688572,0.0034669798995874777,0.03896905804251373,-0.005332169257075581,-0.010611745821627038,0.0006393635201491901,-0.010581204908446384,-0.023583904208143686,0.004487570211395203,Fixed-prediction family-cluster bootstrap,500
Full additive spline minus full linear,0.03173038332809486,0.015736184954046707,0.04785327468490765,-0.00960362533534026,-0.01524421411654787,-0.003899932965845349,-0.04046486805074956,-0.07838388114949342,-0.012813167161406092,Fixed-prediction family-cluster bootstrap,500
Income-wealth interaction minus full additive spline,-0.011697700492335095,-0.021590527093435664,-0.0026919675798926265,0.0054686374157054685,0.0012896655813389142,0.010013893172128238,0.06155545959801534,0.023576709182379665,0.11189462816862285,Fixed-prediction family-cluster bootstrap,500
