Threshold,Group,PermutationImportance,Lower,Upper,WealthShareOfIncomePlusWealthImportance,WealthShareLower,WealthShareUpper,N,Families,BootstrapType,BootstrapReps,Permutations
10,Income,0.07024576933214044,0.03549347608422383,0.09750567885514884,,,,1820,777,Fixed-model held-out family-cluster bootstrap,250,10
10,Wealth,0.0005624754745134908,-0.012535510087966488,0.01091688374155805,0.007943643795286313,-0.24029278919951327,0.14763979442067549,1820,777,Fixed-model held-out family-cluster bootstrap,250,10
20,Income,0.059866103363167,0.03215048872614239,0.08865678796503211,,,,1820,777,Fixed-model held-out family-cluster bootstrap,250,10
20,Wealth,0.015621949425685622,5.803470197159914e-05,0.031019086559204764,0.20694598480877133,0.0007147177113464337,0.4288258755570969,1820,777,Fixed-model held-out family-cluster bootstrap,250,10
30,Income,0.0779170937772895,0.05250594957666237,0.11055006721562913,,,,1820,777,Fixed-model held-out family-cluster bootstrap,250,10
30,Wealth,0.024347430830342964,0.0034754665473837607,0.04377950938586307,0.23808286327794462,0.039844197142368476,0.4136989314315565,1820,777,Fixed-model held-out family-cluster bootstrap,250,10
40,Income,0.14771567067948088,0.10951221482264224,0.18999990921751447,,,,1820,777,Fixed-model held-out family-cluster bootstrap,250,10
40,Wealth,0.06257386322692349,0.038258709749008524,0.08680141398675469,0.29756052079498096,0.1982375998159445,0.3794566865973634,1820,777,Fixed-model held-out family-cluster bootstrap,250,10
